変電所名 電圧(一次)（kV） 電圧(二次)（kV） 割引区分B
富田変電所 77 6.6 割引B-2
北条変電所 77 6.6 割引B-2
堀木変電所 77 6.6 割引B-2
藤山台変電所 77 6.6 割引B-2
松河戸変電所 77 6.6 割引B-2
神屋変電所 77 6.6 割引B-2
鳥居松変電所 77 6.6 割引B-2
関田変電所 77 6.6 割引B-2
桃花台変電所 77 6.6 割引B-2
小木変電所 77 6.6 割引B-2
小牧変電所（２） 77 6.6 割引B-2
横内変電所 77 6.6 割引B-2
上末変電所 77 6.6 割引B-2
笹部変電所 77 6.6 割引B-2
寿変電所 77 6.6 割引B-2
出川変電所 77 6.6 割引B-2
白板変電所 77 6.6 割引B-2
本庄変電所 77 6.6 割引B-2
小柳津変電所 77 6.6 割引B-2
小川変電所 77 6.6 割引B-2
北新田変電所 77 6.6 割引B-2
上田変電所 77 6.6 割引B-2
菅平変電所 77 6.6 割引B-2
桑原変電所 77 6.6 割引B-2
上諏訪変電所 77 6.6 割引B-2
須坂変電所 77 6.6 割引B-2
暁変電所 77 6.6 割引B-2

紺屋田変電所 77 6.6 割引B-2
陶原変電所 77 6.6 割引B-2
菱野変電所 77 6.6 割引B-2
清洲変電所 77 6.6 割引B-2
豊山変電所 77 6.6 割引B-2
西尾変電所（２） 77 6.6 割引B-2
宗高変電所 77 6.6 割引B-2
古庄変電所 77 6.6 割引B-2
日吉変電所 77 6.6 割引B-2
豊田変電所（２） 77 6.6 割引B-2
三保変電所 77 6.6 割引B-2
矢部変電所 77 6.6 割引B-2
高橋変電所 77 6.6 割引B-2
草薙変電所 77 6.6 割引B-2
清水変電所（２） 77 6.6 割引B-2
屋代変電所 77 6.6 割引B-2
上山田変電所 77 6.6 割引B-2
虎渓変電所 77 6.6 割引B-2
羽衣変電所 77 6.6 割引B-2
上面変電所 77 6.6 割引B-2
西崎変電所（２） 77 6.6 割引B-2
浅草変電所 77 6.6 割引B-2
北崎変電所 77 6.6 割引B-2
大府変電所（２） 77 6.6 割引B-2
共和変電所 77 6.6 割引B-2
日長変電所（２） 77 6.6 割引B-2
新知変電所 77 6.6 割引B-2
新池変電所 77 6.6 割引B-2
知立変電所 77 6.6 割引B-2
中野変電所 77 6.6 割引B-2
高丘変電所 77 6.6 割引B-2
壁田変電所 77 6.6 割引B-2
長久手変電所 77 6.6 割引B-2
岩作変電所 77 6.6 割引B-2
塚原変電所 77 6.6 割引B-2
豊科変電所 77 6.6 割引B-2
下諏訪変電所 77 6.6 割引B-2
軽井沢変電所 77 6.6 割引B-2
中軽井沢変電所 77 6.6 割引B-2
和村変電所 77 6.6 割引B-2
木曽駒変電所 77 6.6 割引B-2
長野変電所 77 6.6 割引B-2
上千田変電所 77 6.6 割引B-2
旭山変電所（２） 77 6.6 割引B-2
大豆島変電所 77 6.6 割引B-2
中御所変電所 77 6.6 割引B-2
吉田変電所 77 6.6 割引B-2
東長野変電所（２） 77 6.6 割引B-2

柳町変電所 77 6.6 割引B-2
東丸之内変電所 77 6.6 割引B-2
神守変電所 77 6.6 割引B-2
津島変電所（２） 77 6.6 割引B-2
五和変電所 77 6.6 割引B-2
島田変電所（２） 77 6.6 割引B-2
荒尾変電所 77 6.6 割引B-2
南柴田変電所 77 6.6 割引B-2
横須賀変電所 77 6.6 割引B-2
蟹甲変電所 77 6.6 割引B-2
日進変電所（２） 77 6.6 割引B-2
半田変電所 77 6.6 割引B-2
上境変電所 77 6.6 割引B-2
北竜湖変電所 77 6.6 割引B-2
飯山変電所 77 6.6 割引B-2
殿岡変電所 77 6.6 割引B-2
谷川変電所 77 6.6 割引B-2
本地変電所 77 6.6 割引B-2
印場変電所 77 6.6 割引B-2
三郷変電所（２） 77 6.6 割引B-2
宮ノ上変電所 77 6.6 割引B-2
太田変電所 77 6.6 割引B-2
鴨江変電所 77 6.6 割引B-2
浜松変電所（２） 77 6.6 割引B-2
細島変電所 77 6.6 割引B-2
蜆塚変電所 77 6.6 割引B-2
葵町変電所 77 6.6 割引B-2
西城北変電所 77 6.6 割引B-2
松江変電所 77 6.6 割引B-2
野口変電所（２） 77 6.6 割引B-2
原島変電所 77 6.6 割引B-2
玉津浦変電所 77 6.6 割引B-2
鷲塚変電所 77 6.6 割引B-2
大浜変電所 77 6.6 割引B-2
牟呂変電所 77 6.6 割引B-2
下地変電所 77 6.6 割引B-2
向山変電所 77 6.6 割引B-2
高師変電所 77 6.6 割引B-2
新本町変電所 77 6.6 割引B-2
東田変電所 77 6.6 割引B-2
豊橋変電所（２） 77 6.6 割引B-2
野田変電所 77 6.6 割引B-2
堺変電所 77 6.6 割引B-2
古宿変電所 77 6.6 割引B-2
馬場変電所 77 6.6 割引B-2
挙母変電所 77 6.6 割引B-2
鴻ノ巣変電所 77 6.6 割引B-2
西町変電所 77 6.6 割引B-2

竹生変電所 77 6.6 割引B-2
和会変電所 77 6.6 割引B-2
大脇変電所 77 6.6 割引B-2
豊明変電所 77 6.6 割引B-2
春日変電所 77 6.6 割引B-2
師勝変電所 77 6.6 割引B-2
糸貫変電所 77 6.6 割引B-2
稲永変電所（２） 77 6.6 割引B-2
空見変電所 77 6.6 割引B-2
築港変電所 77 6.6 割引B-2
十一屋変電所 77 6.6 割引B-2
名南変電所 77 6.6 割引B-2
西築港変電所 77 6.6 割引B-2
当知変電所 77 6.6 割引B-2
西小幡変電所 77 6.6 割引B-2
小幡変電所 77 6.6 割引B-2
守山変電所 77 6.6 割引B-2
山中町変電所 77 6.6 割引B-2
瑞穂変電所（３） 77 6.6 割引B-2
